eid,bracket,t_hr,cost,gas_cost,food_cost,toll_cost,exp_fine
50,0.5000,0.5556,74.0716,29.1000,11.1111,0.0000,33.8604
50,0.7000,0.4902,242.0718,32.0100,9.8039,0.0000,200.2579
51,0.0000,1.2500,41.9750,16.9750,25.0000,0.0000,0.0000
51,0.2000,1.0417,46.0090,18.9150,20.8333,0.0000,6.2606
51,0.5000,0.8333,61.0653,21.8250,16.6667,0.0000,22.5736
51,0.7000,0.7353,158.6256,23.7650,14.7059,0.0000,120.1547
52,0.0000,0.5556,40.2111,29.1000,11.1111,0.0000,0.0000
52,0.2000,0.4630,153.3588,33.4650,9.2593,0.0000,110.6346
52,0.5000,0.3704,231.9346,40.0125,7.4074,0.0000,184.5147
52,0.7000,0.3268,1044.9186,44.3775,6.5359,0.0000,994.0052
53,0.0000,0.8333,38.4917,21.8250,16.6667,0.0000,0.0000
53,0.2000,0.6944,51.1452,24.7350,13.8889,0.0000,12.5213
53,0.5000,0.5556,74.0716,29.1000,11.1111,0.0000,33.8604
53,0.7000,0.4902,242.0718,32.0100,9.8039,0.0000,200.2579
54,0.0000,0.4167,69.7083,36.3750,8.3333,25.0000,0.0000
54,0.2000,0.3472,221.6522,42.1950,6.9444,25.0000,147.5128
54,0.5000,0.2778,265.9953,50.9250,5.5556,25.0000,184.5147
54,0.7000,0.2451,1577.6547,56.7450,4.9020,25.0000,1491.0077
55,0.0000,0.8333,38.4917,21.8250,16.6667,0.0000,0.0000
55,0.2000,0.6944,51.1452,24.7350,13.8889,0.0000,12.5213
55,0.5000,0.5556,74.0716,29.1000,11.1111,0.0000,33.8604
55,0.7000,0.4902,242.0718,32.0100,9.8039,0.0000,200.2579
56,0.0000,1.2500,41.9750,16.9750,25.0000,0.0000,0.0000
56,0.2000,1.0417,46.0090,18.9150,20.8333,0.0000,6.2606
56,0.5000,0.8333,61.0653,21.8250,16.6667,0.0000,22.5736
56,0.7000,0.7353,158.6256,23.7650,14.7059,0.0000,120.1547
57,0.0000,1.2500,41.9750,16.9750,25.0000,0.0000,0.0000
57,0.2000,1.0417,46.0090,18.9150,20.8333,0.0000,6.2606
57,0.5000,0.8333,61.0653,21.8250,16.6667,0.0000,22.5736
57,0.7000,0.7353,158.6256,23.7650,14.7059,0.0000,120.1547
58,0.0000,1.2500,41.9750,16.9750,25.0000,0.0000,0.0000
58,0.2000,1.0417,46.0090,18.9150,20.8333,0.0000,6.2606
58,0.5000,0.8333,61.0653,21.8250,16.6667,0.0000,22.5736
58,0.7000,0.7353,158.6256,23.7650,14.7059,0.0000,120.1547
59,0.0000,1.2500,41.9750,16.9750,25.0000,0.0000,0.0000
59,0.2000,1.0417,46.0090,18.9150,20.8333,0.0000,6.2606
59,0.5000,0.8333,61.0653,21.8250,16.6667,0.0000,22.5736
59,0.7000,0.7353,158.6256,23.7650,14.7059,0.0000,120.1547
60,0.0000,1.2500,41.9750,16.9750,25.0000,0.0000,0.0000
60,0.2000,1.0417,46.0090,18.9150,20.8333,0.0000,6.2606
60,0.5000,0.8333,61.0653,21.8250,16.6667,0.0000,22.5736
60,0.7000,0.7353,158.6256,23.7650,14.7059,0.0000,120.1547
61,0.0000,1.2500,41.9750,16.9750,25.0000,0.0000,0.0000
61,0.2000,1.0417,46.0090,18.9150,20.8333,0.0000,6.2606
61,0.5000,0.8333,61.0653,21.8250,16.6667,0.0000,22.5736
61,0.7000,0.7353,158.6256,23.7650,14.7059,0.0000,120.1547
62,0.0000,0.5556,40.2111,29.1000,11.1111,0.0000,0.0000
62,0.2000,0.4630,153.3588,33.4650,9.2593,0.0000,110.6346
62,0.5000,0.3704,231.9346,40.0125,7.4074,0.0000,184.5147
62,0.7000,0.3268,1044.9186,44.3775,6.5359,0.0000,994.0052
63,0.0000,1.2500,41.9750,16.9750,25.0000,0.0000,0.0000
63,0.2000,1.0417,46.0090,18.9150,20.8333,0.0000,6.2606
63,0.5000,0.8333,61.0653,21.8250,16.6667,0.0000,22.5736
63,0.7000,0.7353,158.6256,23.7650,14.7059,0.0000,120.1547
64,0.0000,0.4167,69.7083,36.3750,8.3333,25.0000,0.0000
64,0.2000,0.3472,221.6522,42.1950,6.9444,25.0000,147.5128
64,0.5000,0.2778,265.9953,50.9250,5.5556,25.0000,184.5147
64,0.7000,0.2451,1577.6547,56.7450,4.9020,25.0000,1491.0077
